index,product_id,review_id,title,review,likes,dislikes,ratings,reviewer,clean_review,clean_review2,phone,camera,battery,delivery,processor,y
972,ECMB000036,ECMB0000360000973,Just okay,very good,0,0,3,SARTHAK  Mishra,good,['good'],0.4585410952568054,0.4807157516479492,0.5032537579536438,0.4673970341682434,0.4955277442932129,0
156,ECMB000004,ECMB0000040000157,Does the job,Not good,0,0,3,Mohd Riyaz,good,['good'],0.4585410952568054,0.4807157516479492,0.5032537579536438,0.4673970341682434,0.4955277442932129,0
242,ECMB000015,ECMB0000150000243,Does the job,"The size, style, and its look is awesome. Every one should like this, performance is also excellent 😍. The draw back with my hand set is: sms service from 2nd slot sim isn't working, which is really embarassing foe me. Battery 🔋 back up is okay, camera 📷 photo quality is very good, but required attention while taking photos.",0,0,3,B K  PATEL,size style look awesome every one like performance also excellent smile face hearteye draw back hand set sm service 2nd slot sim work really embarasse foe I battery battery back okay camera camera photo quality good require attention take photo,"['size', 'style', 'look', 'awesome', 'every', 'one', 'like', 'performance', 'also', 'excellent', 'smile', 'face', 'hearteye', 'draw', 'back', 'hand', 'set', 'sm', 'service', '2nd', 'slot', 'sim', 'work', 'really', 'embarasse', 'foe', 'i', 'battery', 'battery', 'back', 'okay', 'camera', 'camera', 'photo', 'quality', 'good', 'require', 'attention', 'take', 'photo']",0.935533344745636,0.9235353469848633,0.9562884569168091,0.9662407040596008,0.9090147614479065,0
545,ECMB000035,ECMB0000350000546,Decent product,Battery backup very bad.  Camera is ok.. Feels good and handy to hold. Don't like hybrid sim slot.,0,0,3,Flipkart Customer,battery backup bad camera ok feel good handy hold nt like hybrid sim slot,"['battery', 'backup', 'bad', 'camera', 'ok', 'feel', 'good', 'handy', 'hold', 'nt', 'like', 'hybrid', 'sim', 'slot']",0.9327395558357239,0.906138002872467,0.944908082485199,0.9609829187393188,0.8982136249542236,0
759,ECMB000013,ECMB0000130000760,Super!,nice,0,0,5,Flipkart Customer,nice,['nice'],0.922187864780426,0.8793666362762451,0.8529798984527588,0.9016056656837463,0.8379616737365723,1
414,ECMB000041,ECMB0000410000415,Very Good,Not bad,0,0,4,Imran Khan,bad,['bad'],0.8399351239204407,0.7631593942642212,0.8772426843643188,0.8440635204315186,0.7299731373786926,1
851,ECMB000011,ECMB0000110000852,Terrific purchase,good,0,0,5,sachin rao,good,['good'],0.4585410952568054,0.4807157516479492,0.5032537579536438,0.4673970341682434,0.4955277442932129,1
578,ECMB000029,ECMB0000290000579,Does the job,"Too good in this price band. But I world recommend to spend more 500 and go for 7A. Because this odd combination of 2gb 32gb,  or 3gb 64gb is a bit glitchy.",0,0,3,Santosh Bade,good price band I world recommend spend 500 go 7a odd combination 2 gb 32 gb 3 gb 64 gb bit glitchy,"['good', 'price', 'band', 'i', 'world', 'recommend', 'spend', '500', 'go', '7a', 'odd', 'combination', '2', 'gb', '32', 'gb', '3', 'gb', '64', 'gb', 'bit', 'glitchy']",0.9085678458213806,0.8760935068130493,0.9095363020896912,0.9099016189575195,0.8661789298057556,0
393,ECMB000001,ECMB0000010000394,Fabulous!,Nyc products,0,0,5,Flipkart Customer,nyc product,"['nyc', 'product']",0.8560911417007446,0.9511250257492065,0.8495134711265564,0.7973936796188354,0.9566172361373901,1
232,ECMB000060,ECMB0000600000233,Delightful,"Classic phone. Looks and Performance  are both awesome. Ordered 2 variants-one 32GB and other 64 GB. Both are working in the best order, the first one  already being 6 months old.Xiomi gives quality phones at a affordable price.",1,0,5,Hrishikesh Nath,classic phone look performance awesome order 2 variantsone 32 gb 64 gb work good order first one already 6 month oldxiomi give quality phone affordable price,"['classic', 'phone', 'look', 'performance', 'awesome', 'order', '2', 'variantsone', '32', 'gb', '64', 'gb', 'work', 'good', 'order', 'first', 'one', 'already', '6', 'month', 'oldxiomi', 'give', 'quality', 'phone', 'affordable', 'price']",0.9338042140007019,0.9126380681991577,0.9555004835128784,0.9553773999214172,0.9143407344818115,1
322,ECMB000008,ECMB0000080000323,Decent product,Nice set,0,0,3,Pradip Sharma,nice set,"['nice', 'set']",0.9276434183120728,0.8793368935585022,0.8789748549461365,0.9246172904968262,0.8294351696968079,0
